"","Airline.ID","Destination.Airport.ID","Source.Airport.ID","Airline","Source.Airport","Destination.Airport","Codeshare","Stops","Equipment","Source_Name","Source_City","Source_Country","Source_IATA","Source_ICAO","Source_Lat","Source_Long","Source_Alt","Source_TZ","Source_DST","dest_Name","dest_City","dest_Country","dest_IATA","dest_ICAO","dest_Lat","dest_Long","dest_Alt","dest_TZ","dest_DST","Airline_Name","Airline_Alias","Airline_IATA","Airline_ICAO","Airline_Callsign","Airline_Country","Airline_Active"
"33496","407","273","269","W3","KAD","LOS","",0,"CR9","Kaduna","Kaduna","Nigeria","KAD","DNKA",10.696025,7.320114,2073,1,"N","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33498","407","6730","273","W3","LOS","QOW","",0,"73G","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Imo Airport","Imo","Nigeria","QOW","DNIM",5.42706,7.20603,373,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33499","407","6972","260","W3","ABV","QRW","",0,"DH4","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Warri Airport","Osubi","Nigeria","QRW","DNSU",5.31,5.45,50,1,"U","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33500","407","270","273","W3","LOS","KAN","",0,"DH4","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Mallam Aminu Intl","Kano","Nigeria","KAN","DNKN",12.047589,8.524622,1562,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33501","407","273","6972","W3","QRW","LOS","",0,"DH4","Warri Airport","Osubi","Nigeria","QRW","DNSU",5.31,5.45,50,1,"U","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33502","407","275","273","W3","LOS","PHC","",0,"738 73G","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Port Harcourt Intl","Port Hartcourt","Nigeria","PHC","DNPO",5.015494,6.949594,87,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33503","407","260","264","W3","ENU","ABV","",0,"73G","Enugu","Enugu","Nigeria","ENU","DNEN",6.474272,7.561961,466,1,"N","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33504","407","275","260","W3","ABV","PHC","",0,"73G","Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",9.006792,7.263172,1123,1,"N","Port Harcourt Intl","Port Hartcourt","Nigeria","PHC","DNPO",5.015494,6.949594,87,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33505","407","273","264","W3","ENU","LOS","",0,"73G","Enugu","Enugu","Nigeria","ENU","DNEN",6.474272,7.561961,466,1,"N","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
"33508","407","273","275","W3","PHC","LOS","",0,"73G 738","Port Harcourt Intl","Port Hartcourt","Nigeria","PHC","DNPO",5.015494,6.949594,87,1,"N","Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",6.577369,3.321156,135,1,"N","Arik Air","\N","W3","ARA","ARIK AIR","Nigeria","N"
