ID,Airline.ID,Destination.Airport.ID,Source.Airport.ID,Airline,Source.Airport,Destination.Airport,Codeshare,Stops,Equipment,Source_Name,Source_City,Source_Country,Source_IATA,Source_ICAO,Source_Lat,Source_Long,Source_Alt,Source_TZ,Source_DST,dest_Name,dest_City,dest_Country,dest_IATA,dest_ICAO,dest_Lat,dest_Long,dest_Alt,dest_TZ,dest_DST,Airline_Name,Airline_Alias,Airline_IATA,Airline_ICAO,Airline_Callsign,Airline_Country,Airline_Active
12414,2009,260,275,DL,PHC,ABV,Y,0,772,Port Harcourt Intl,Port Hartcourt,Nigeria,PHC,DNPO,5.015494,6.949594,87,1,N,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Delta Air Lines,\N,DL,DAL,DELTA,United States,Y
12784,2009,260,1382,DL,CDG,ABV,Y,0,772,Charles De Gaulle,Paris,France,CDG,LFPG,49.012779,2.55,392,1,E,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Delta Air Lines,\N,DL,DAL,DELTA,United States,Y
12986,2009,275,260,DL,ABV,PHC,Y,0,772,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Port Harcourt Intl,Port Hartcourt,Nigeria,PHC,DNPO,5.015494,6.949594,87,1,N,Delta Air Lines,\N,DL,DAL,DELTA,United States,Y
13953,2143,1128,270,MS,KAN,CAI,,0,320,Mallam Aminu Intl,Kano,Nigeria,KAN,DNKN,12.047589,8.524622,1562,1,N,Cairo Intl,Cairo,Egypt,CAI,HECA,30.121944,31.405556,382,2,U,Egyptair,\N,MS,MSR,EGYPTAIR,Egypt,Y
13964,2143,273,1128,MS,CAI,LOS,,0,738,Cairo Intl,Cairo,Egypt,CAI,HECA,30.121944,31.405556,382,2,U,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Egyptair,\N,MS,MSR,EGYPTAIR,Egypt,Y
14094,2143,260,1128,MS,CAI,ABV,,0,738,Cairo Intl,Cairo,Egypt,CAI,HECA,30.121944,31.405556,382,2,U,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Egyptair,\N,MS,MSR,EGYPTAIR,Egypt,Y
14130,2143,1128,273,MS,LOS,CAI,,0,738,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Cairo Intl,Cairo,Egypt,CAI,HECA,30.121944,31.405556,382,2,U,Egyptair,\N,MS,MSR,EGYPTAIR,Egypt,Y
14143,2143,1128,260,MS,ABV,CAI,,0,738,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Cairo Intl,Cairo,Egypt,CAI,HECA,30.121944,31.405556,382,2,U,Egyptair,\N,MS,MSR,EGYPTAIR,Egypt,Y
14151,2143,270,1128,MS,CAI,KAN,,0,320,Cairo Intl,Cairo,Egypt,CAI,HECA,30.121944,31.405556,382,2,U,Mallam Aminu Intl,Kano,Nigeria,KAN,DNKN,12.047589,8.524622,1562,1,N,Egyptair,\N,MS,MSR,EGYPTAIR,Egypt,Y
14773,2183,2188,273,EK,LOS,DXB,,0,77W,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Dubai Intl,Dubai,United Arab Emirates,DXB,OMDB,25.252778,55.364444,62,4,U,Emirates,Emirates Airlines,EK,UAE,EMIRATES,United Arab Emirates,Y
